Campus_Name,Latitude,Longitude,Size
Royal Melbourne Hospital [City Campus],-37.7992,144.9559,866
Monash Medical Centre [Clayton],-37.9205,145.1224,163
"Alfred, The [Prahran]",-37.8456,144.9821,418
Austin Hospital,-37.7565,145.0604,696
St Vincents Hospital,-37.8068,144.9751,40
Northern Hospital The [Epping],-37.6526,145.0151,166
Sunshine Hospital,-37.7599,144.816,245
University Hospital Geelong,-38.15197725,144.3653819,961
Frankston Hospital,-38.1509,145.1293,276
Dandenong Hospital,-37.977,145.2185,832
Box Hill Hospital,-37.81391215,145.1183651,523
Bendigo Hospital The,-36.7513,144.28,604
Ballarat Health Services [Base Campus],-37.5587,143.8474,348
Mercy Public Hospitals Inc [Werribee],-37.8858,144.6992,28
Latrobe Regional Hospital [Traralgon],-38.2188,146.4714,50
Maroondah Hospital [Ringwood East],-37.807,145.2554,982
Footscray Hospital,-37.7924,144.8874,830
Casey Hospital,-38.045,145.347,277
Goulburn Valley Health [Shepparton],-36.3635209,145.4043398,425
Angliss Hospital,-37.8987,145.3136,142
South West Healthcare [Warrnambool],-38.3804,142.4728,185
Northeast Health Wangaratta,-36.3543,146.3143,584
Albury Wodonga Health [Albury],-36.0785,146.9397,189
Echuca Regional Health,-36.1382,144.7486,964
Albury Wodonga Health [Wodonga],-36.1318,146.8795,715
Monash Medical Centre [Moorabbin],-37.9209,145.0635,653
Heidelberg Repatriation Hospital,-37.7561,145.0474,522
Sandringham Hospital,-37.961,145.0185,280
Bairnsdale Regional Health Service,-37.8317,147.6083,182
Broadmeadows Health Service,-37.6842,144.9134,39
Wonthaggi Hospital,-38.6082,145.5809,930
Central Gippsland Health Service [Sale],-38.1077223,147.0807548,122
Wimmera Base Hospital [Horsham],-36.7119,142.2092,634
West Gippsland Healthcare Group [Warragul],-38.1728,145.9275,292
Western District Health Service [Hamilton],-37.7373,142.0301,249
Colac Area Health,-38.3415,143.5839,352
East Grampians Health Service [Ararat],-37.2787,142.9323,776
Swan Hill District Health [Swan Hill],-35.3406,143.5566,131
Portland District Health,-38.3411054,141.6054432,435
Rosebud Hospital,-38.3619,144.8846,555
Cranbourne Integrated Care Centre,-38.1132,145.2804,17
Williamstown Hospital,-37.8636,144.8928,72
The Peter James Centre [East Burwood],-37.8524,145.164,158
Sunbury Day Hospital,-37.5768144,144.7323937,107
Melton Health,-37.6868502,144.5576761,499
Yarra Ranges Health,-37.7566,145.3514,838
Craigieburn Health Service,-37.5964,144.9198,349
Maryborough District Health Service [Maryborough],-37.0451,143.7383,152
Castlemaine Health,-37.0526,144.2121,514
Kyneton Health,-37.2545,144.4701,87
Djerriwarrh Health Services [Bacchus Marsh],-37.6781,144.4325,829
Benalla Health,-36.5549,145.9935,270
Frankston Public Surgical Centre,-38.1544,145.1331,997
Gippsland Southern Health Service [Leongatha],-38.4873,145.9501,798
Kyabram District Health Service,-36.3153,145.0422,32
Seymour Health,-37.0185,145.1386,105
Healesville Hospital and Yarra Valley Health,-37.6469,145.5288,815
Kilmore District Health,-37.30229889,144.9595918,341
Yarrawonga Health,-36.01119805,146.0068327,604
Stawell Regional Health,-37.0594,142.7814,956
Heart Hospital,-37.9122167,145.1400255,15
Tweddle Child & Family Health Service [Footscray],-37.7974,144.8876,186
Queen Elizabeth Centre [Noble Park],-37.9722,145.1783,480
Royal Dental Hospital [Melbourne],-37.7993,144.9645,965
Womens Sandringham,-37.961,145.0185,66
Mansfield District Hospital,-37.05760484,146.0865084,86
South West Healthcare [Camperdown],-38.2371,143.1379,575
Sandringham Monash,-37.961,145.0185,127
West Wimmera Health Service [Nhill],-36.3338782,141.6558375,482
Kerang District Health,-35.724487,143.917602,730
Yarram & District Health Service,-38.5569618,146.6777133,529
Royal Melbourne Hospital [Royal Park Campus],-37.778946,144.9472588,353
Alexandra Health,-37.1953,145.7161,709
Daylesford Health,-37.3376,144.1455,362
"NCN Health, Numurkah",-36.1,145.4438,510
South Gippsland Hospital [Foster],-38.6587,146.2062,552
Blackburn Public Surgical Centre,-37.83284916,145.1552726,834
OConnell Family Centre (Grey Sisters) Inc. [Canterbury],-37.8163,145.0618,544
Robinvale District Health Services [Robinvale],-34.5845,142.782,551
Caulfield General Medical Centre,-37.8824,145.0167,461
Cohuna District Hospital,-35.8001404,144.214509,738
Orygen Inpatient Unit,-37.7914374,144.886989,68
Alpine Health [Bright],-36.733,146.9661,617
Kingston Centre [Cheltenham],-37.9553327,144.9582182,388
Terang & Mortlake Health Service [Terang],-38.2394,142.9024,683
Alpine Health [Myrtleford],-36.5544,146.7291,874
Gippsland Southern Health Service [Korumburra],-38.4303986,145.8282926,444
"NCN Health, Cobram",-35.9165,145.6512,353
East Wimmera Health Service [Donald],-36.3666,142.9764,20
St Vincent's on the Park,-37.811874,144.97738,65
Casterton Memorial Hospital,-37.5900342,141.3925806,13
Orbost Regional Health,-37.7018973,148.4655867,949
Rural Northwest Health [Warracknabeal],-36.2528,142.3821,382
Moyne Health Services [Port Fairy],-38.3815,142.2271,422
Heathcote Health,-36.9261,144.7097,896
Alpine Health [Mount Beauty],-36.7433,147.1694,765
